,0
0,CCO
1,C
2,CO
3,C=O
4,CC
5,CCCO
6,O=CC#C
7,C=CC=O
8,CC=O
9,C#C
10,C=C
11,COC
12,CCC
13,CC(C)O
14,CC(O)=O
15,CCCCO
16,COCOC
17,CCCCC
18,CCOCC
19,CC=C
20,OC=O
21,CC#C
22,CCCC
23,CC=O
24,OCCO
25,CCCCCO
26,CCCCCC
27,CCCC#C
28,OCC(O)CO
29,CCOC=O
30,C=C=C
31,CCC=C
32,CC#CC
33,OCC=C
34,CCC=O
35,COC=O
36,COCCO
37,OCCCO
38,CCCCCCO
39,CC(C)=O
40,CCCCC=O
41,CCC(C)O
42,CCOC=C
43,CCOCCO
44,COCC#C
45,OCCCCO
46,CCCC=C
47,C1CC1
48,C1CO1
49,C=CC=C
50,O=C=O
51,OCC#C
52,CC=CCO
53,CC=CCO
54,COC(C)=O
55,CCC(O)=O
56,CCC(C)=O
57,CCCC(C)C
58,CC1CCCC1
59,C=CCCC=C
60,CCCC(C)O
61,CCC(O)CC
62,CCCCCCC
63,OCC=C=C
64,CC(C)CO
65,C1CCOC1
66,C=1C=COC=1
67,CC(O)CO
68,OCCCCCO
69,OC=CC=O
70,OC1CCC1
71,COCCOC
72,CCCC=O
73,C1COC1
74,O=CC=O
75,CC(C)C
76,CC1CO1
77,CC1CO1
78,CCOC(C)=O
79,CCCC(O)=O
80,CC(C)(C)O
81,CCCCCCC=O
82,CC(C)CC=O
83,O=CC1CCC1
84,O=C1CCCC1
85,CCCCCCCCO
86,CCCC(C)CC
87,CCCC(C)=O
88,CCCC(O)CC
89,CCCCC(C)O
90,CCCCOCCCC
91,O=C1CCCO1
92,C1OCC=C1
93,CCCCCCCC
94,OCC(O)=O
95,CCCCCCCO
96,CCCCCC=O
97,CCCCOCCO
98,OC1CCCC1
99,OCCCC(O)=O
100,CCC(C)CC
101,CC(C)CCO
102,CCC(C)CO
103,OCCCCCCO
104,CCC(C)C
105,OC(O)=O
106,OCCOCCO
107,C1CCCC1
108,CCC1CO1
109,OCC1CO1
110,CCCCC=C
111,C=COC=C
112,CCCOC=O
113,OCC#CCO
114,C1COCO1
115,CCCOCCC
116,CCCOCCO
117,CC=CC=O
118,CCCCOCC
119,CCC1OC1C
120,CCC=CC=O
121,CC=CC=O
122,CCC=CCO
123,OCC=CCO
124,OC1=CC=C(O)C=C1
125,CCCCCCCC=O
126,CCCCCCCCCO
127,CCC(C)(C)O
128,CCCOC(C)=O
129,O=C1CCC=C1
130,OCC(O)C=O
131,OCC1=CC=CO1
132,CCCCCCCCC
133,OCC=1C=COC=1
134,C1CCCCCC1
135,C1CC=CC1
136,OOC1CCCO1
137,O=C1CCO1
138,COCCOCCO
139,C=CC1CO1
140,CC(C)C=O
141,CC1=CC=CO1
142,CC1CCCO1
143,C=CCOC=O
144,CCOCCOCC
145,OC1CCOC1
146,CCCCOC=O
147,CC(CO)CO
148,COC(C)OC
149,CC(O)CCO
150,COCC(C)O
151,CCCCOC=C
152,CC1CCOC1=O
153,CC=C(C)C=O
154,CC=1C=COC=1C
155,CCC=CCCO
156,CCCC=CCO
157,CCC=CCCO
158,CC=CCC=C
159,CC(O)CCO
160,OC1COCC1O
161,OC1CCCC1O
162,COC1=CC=C(O)C=C1
163,CCCCCC(O)=O
164,O=C1CCCCCC1
165,CCCCCC(C)=O
166,CC(C)(C)COO
167,CC(C)(C)CCO
168,C1CCCC=CCC1
169,CCCCC(CC)CO
170,CCCCCCCCCC
171,CCC(C)(C)C
172,O=C1OCC=C1
173,O=CC1=CC=CO1
174,CCCCC(C)=O
175,CCCCC(O)=O
176,CCC(CC)C=O
177,O=CC1CCCC1
178,CC(C)(C)OO
179,COC(OC)C#C
180,CC(C)C(C)O
181,CCCCCC(C)O
182,CCCCC(O)CC
183,C1CCCCCCC1
184,CC(C)=CC=O
185,CC(C)(C)CO
186,CCCCC(C)C
187,OC1CCCCCC1
188,OCCC(O)=O
189,CCCCCCCCCCO
190,CCOCCOCCO
191,O=CCCCC=O
192,COCCOCCOC
193,OCCC(O)CO
194,CCCCCCC=C
195,CCCC(C)CO
196,COCC(O)=O
197,CC(C)CCCO
198,O=COC1CC1
199,OCC1CCOC1
200,OCC1CCCO1
201,CCC1=CC=CO1
202,CCC(O)C=C
203,CCC(C)C=O
204,CCC(CC)CO
205,CC(C)=CCO
206,OCCCCOC=C
207,CC(C)OC=O
208,O=C1OCCO1
209,COC(C)CCO
210,CCOCC(C)O
211,COC(OC)OC
212,COCC(O)CO
213,C1C=CC=C1
214,CCC(CO)CO
215,CC(C)OCCO
216,CCC1CCOC1=O
217,CCCCC=CC=O
218,COCC=CCOC
219,CCCC=CC=O
220,CCCCC=CCO
221,CC=CC=CCO
222,CC1=CC=C(O)C=C1
223,CCCCCCC(C)=O
224,O=C1CCCCCCC1
225,OC1=CC=CC(O)=C1
226,CCCCCCCCCCCC
227,CC1=CC=C(C)C=C1
228,CCCCCOC(C)=O
229,CC(C)C(O)=O
230,CCCCCCCCCCC
231,OCCOCC(O)=O
232,OC1=COCC1=O
233,CCCCOC(C)=O
234,O=C1CCCCCO1
235,COCCC(O)=O
236,CCCC(C)(C)O
237,CC(C)CC(C)O
238,OC1CCCCCCC1
239,CCCCCC(O)CC
240,CCCCCCC(C)O
241,CCOCC(O)=O
242,CCC(C)(O)CC
243,C=CCCCCCCC=C
244,OCCOCCOCCO
245,C1OC1C2CO2
246,CC(C)C(C)C
247,CCOC(C)OCC
248,COC(C)(C)C
249,CCCOCC(C)O
250,CC(O)C(C)O
251,O=CC=1C=COC=1
252,O=CC1CCOC1
253,O=COCCOC=O
254,CCCC(O)C=C
255,CCCC(C)C=O
256,CCCCCCOC=O
257,CC(C)COC=C
258,CC=CC(O)=O
259,CCCCCCOCCO
260,CCC=CC(O)=O
261,CCC=CC(O)=O
262,C=C1CCOC1=O
263,CCCCCC=CC=O
264,OCC=CC(O)=O
265,CC=CC(O)=O
266,OCC1CCCC1O
267,CCCCCC=CCO
268,CCC=CCCCCO
269,CC1OCCC1=O
270,CC=CC=CC=O
271,CC(O)C(O)=O
272,CC(O)C(O)=O
273,OCC1CCCC1O
274,CCC(C)(O)C#C
275,CCCC(CCC)C(O)=O
276,CCC(C)C(C)C=O
277,CCCCCCCCCCCCO
278,OCC(O)C(O)C=O
279,CCC1=CC=CC(C)=C1
280,CCCCCCCCC(C)O
281,CC(C)CCC(C)=O
282,CC(C)COC(C)=O
283,COC1=CC=CC(O)=C1
284,CCC1=CC=CC(O)=C1
285,CC1=CC=C(CO)C=C1
286,O=CC1CCCCCC1
287,CC(C)CC(C)=O
288,CC1=CC=CC(C)=C1
289,CC1=CC=CC(O)=C1
290,CCCCCCC(O)=O
291,OCC(O)C(O)CO
292,CCCCCCCCCCCO
293,CCCCCCCC(C)O
294,COCCOCCOCCO
295,CCCCCCC(O)CC
296,OCCCCC(O)=O
297,CC(CCO)=CCO
298,CCC(O)C(O)=O
299,CC(C)CC(O)=O
300,CC(O)C(O)=O
301,CCOCCOCCOCC
302,CCC(C)(C)OC
303,CCOC(C)(C)C
304,CC(O)CC(C)O
305,CC(C)(C)C#C
306,CCCCOCC1CO1
307,C=CCOCC1CO1
308,CCCCOCCOCCO
309,CCCCOCC(C)O
310,OCC#CC(O)=O
311,COCOCCC#CCO
312,CCCCCCCCC=O
313,CCCCCCCOC=O
314,CC(C)(CO)CO
315,CC(C)(C)C=C
316,CC(C)C(C)=O
317,COCCCOCCCOC
318,CCCCOC(O)CC
319,COC(C)(C)OC
320,OCCCCC(O)CO
321,CC(C)(O)C#C
322,CCCCCCCCC=C
323,CCC(C)(C)CC
324,CC(C)OC(C)C
325,CC(O)C(C)=O
326,CC1=CC=CC(C)=C1O
327,CC=C(C)C(O)=O
328,CC=C(C)C(O)=O
329,CCCCCCC=CC=O
330,CCCC1CCOC1=O
331,C1CCC2OC2C1
332,OCC=CC(O)=O
333,CCCCCCC=CCO
334,CCC=C(C)C=O
335,CCC=CCCCCCO
336,CC(CCO)=CCO
337,CCC=CC=CC=O
338,CCCCCC(O)CCO
339,OCC(O)C(O)CO
340,CC1OC1C(O)=O
341,OC1=CC=C(C=O)C=C1
342,OCCCCCCCCCCCCO
343,CCCCCCCCCCCCCO
344,CCCC1=CC=C(O)C=C1
345,CC(C)CCOC(C)=O
346,O=CC=C1CCCCCC1
347,CC1=CC=CC(O)=C1CO
348,CCCCCCCCC(C)=O
349,OCCC1=CC=C(O)C=C1
350,OCCC1=CC=CC(O)=C1
351,CCC1=CC=C(O)C=C1
352,CC(C)=CC(O)=O
353,CCCCCCCCCCCCC
354,COC1=CC=C(C)C=C1
355,CC(C)(C)OCC#C
356,CC(O)CCC(O)=O
357,CC(CCO)C(O)=O
358,CCC(CC)C(O)=O
359,CC(O)=CC(C)=O
360,CCC1=CC=C(C)C=C1
361,OCC1=CC=C(O)C=C1
362,OC1=CC=CC(O)=C1O
363,CCCCCCCC(O)=O
364,COC1=CC=CC(C)=C1
365,CC(CO)CC(O)=O
366,CC(O)C(C)(C)C
367,CCC(C)C(O)=O
368,CC(O)CC(O)=O
369,COCCOCCOCCOC
370,CC(C)(C)OC=O
371,CCOCCOC(C)=O
372,CC(C)OCC1CO1
373,CCOC(OCC)OCC
374,CCCCC(CC)C=O
375,CC(C)OC(C)=O
376,CCOCCOCCOCCO
377,CC1CCCC(C)C1
378,OCCCCCC(O)=O
379,CCCCCCCCCC=O
380,CCCCCC1=CC=CO1
381,CCC(O)OCCCOC
382,CCC(C)C(C)=O
383,CCOC(OCC)C=C
384,OCCCCCCCCC=C
385,CCCCCC(O)C=C
386,OCC(O)COCC=C
387,CCCCCC(O)C#C
388,COC(C)(OC)OC
389,COC(C)(C)CCO
390,CCCCCCC(O)CO
391,CC1=CC=CC(CO)=C1O
392,CC1=CC=C(O)C=C1C
393,C1OC2CCCC1OO2
394,CC1CC1CC(O)=O
395,O=C1OCCC12CC2
396,CC1=CC(O)=CC=C1O
397,CCC=COCC(O)CO
398,CCCCC1CCOC1=O
399,CCCCCCCC=CC=O
400,CCCCC=CCCCCO
401,COCOCCC=CC=O
402,OCCC=CC(O)=O
403,CCCCCCCC=CCO
404,CCCC=CC(O)=O
405,CCCC=CC(O)=O
406,CC1=COC=C1CCCO
407,C1C=CCC2OC12
408,CC=CC=CC(O)=O
409,CC=CC=CC=CC=O
410,CC(O)CC(O)=O
411,CCC(C)C(O)=O
412,CCCCCC(O)C=C
413,CCC=CCCC=CCO
414,CC(O)CC(O)=O
415,CCC(C)C(O)=O
416,OCCC1CC=CC1O
417,OC1COCC(O)C1O
418,CCCCCCCCCCCCCCO
419,CCCCCCCCCCCCCCCCO
420,CC1=CC=C(O)C(C)=C1
421,CC(C)=CCCC(C)=O
