SMILES,Y
c1ccc(cc1)CCc1ccccc1,0
Cc1cccc(C)c1,0
Cc1ccc(cc1)C(C)C,0.301029996
c1ccccc1,0.301029996
CO,0.477121255
CC(C)(C)c1ccc2ccccc2c1,0.477121255
C=C(CC(C)(C)C)CC(C)(C)CC(C)(C)C,0.698970004
CCCCc1cccc2ccccc12,0.77815125
CC[C@@H](C)c1ccccc1,0.77815125
CC[C@H](C)c1ccccc1,0.77815125
C/C=C/C=C/C(=O)OC,0.77815125
CCCC(=O)OC(COC(=O)CCC)COC(=O)CCC,0.84509804
CC[C@@H](C)C1CCCc2ccccc12,0.84509804
CC[C@H](C)C1CCCc2ccccc12,0.84509804
Cc1ccccc1C,0.903089987
CCc1ccccc1,0.903089987
CCCC1CCCc2ccccc12,0.903089987
CCc1cccc(CC)c1,0.954242509
CCCC(C)(CCC)c1ccc2ccccc2c1,0.954242509
CCCCCc1ccccc1,0.954242509
CC(CC(C)(C)C)CC(C)(C)C,0.954242509
C[C@H](C(C)C)C(C)[C@H](C)C(C)C,0.954242509
C[C@H](C(C)C)C(C)[C@@H](C)C(C)C,0.954242509
C[C@@H](C(C)C)C(C)[C@@H](C)C(C)C,0.954242509
CCO,1
CCCCC(C)(C)c1ccc2ccccc2c1,1
CC(=C)CC(C)(C)C,1
c1ccc(cc1)Cc1ccccc1,1.041392685
CCCO,1.079181246
CCCC[C@@](C)(CCCC)c1ccc2ccccc2c1,1.079181246
CCCCCCC(CC)(CC)c1ccc2ccccc2c1,1.113943352
C1CCc2ccccc2C1,1.113943352
CC(C)c1ccccc1,1.176091259
CCOC(=O)CCCCC(=O)OCC,1.176091259
C1CCCCC1,1.176091259
CC(C)CC(C)(C)C,1.176091259
C[C@H](CC(C)(C)C)CC(C)(C)CC(C)(C)C,1.176091259
C[C@@H](CC(C)(C)C)CC(C)(C)CC(C)(C)C,1.176091259
CCCCO,1.230448921
Cc1ccc(C)c(C)c1C,1.230448921
CC(C)(C)C1CCCc2ccccc12,1.230448921
CCCCOC(=O)CCC,1.255272505
CC[C@@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,1.255272505
CC[C@@H](C)C[C@](C)(CC)c1ccc2ccccc2c1,1.255272505
CC[C@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,1.255272505
CC[C@H](C)C[C@](C)(CC)c1ccc2ccccc2c1,1.255272505
CCCCCCCCC(C)(C)c1ccc2ccccc2c1,1.255272505
CCCCCCCC(CC(C)C)(CC(C)C)c1ccccc1,1.255272505
CCCCCCCCc1ccc2ccccc2c1,1.255272505
CCCCC1CCCc2ccccc12,1.255272505
CCCCCCCCC1CCCc2ccccc12,1.255272505
CCCCCC[C@@](C)(CC)C1CCCC2CCCCC12,1.255272505
CCCCCC[C@](C)(CC)C1CCCC2CCCCC12,1.255272505
CCCCCO,1.301029996
CCCCCCCCc1cccc(C)c1C,1.301029996
CCC[C@@H](CC)[C@H](CC)CCC,1.301029996
CCC[C@@H](CC)[C@@H](CC)CCC,1.301029996
CCC[C@H](CC)[C@@H](CC)CCC,1.301029996
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,1.301029996
c1ccc(cc1)c1ccccc1,1.322219295
CCCCCC(=O)OC,1.322219295
CCCC(C)(CCC)C1CCCC2CCCCC12,1.322219295
CC1CCCCC1,1.322219295
CC[C@@H](C)C(C)C,1.322219295
CC[C@H](C)C(C)C,1.322219295
C1CCCCCCC1,1.342422681
CCCCCC#C,1.342422681
CCCC,1.342422681
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,1.361727836
CCCCCCCC/C=C(\C)/c1ccccc1,1.361727836
CCCCCCCC/C=C(/C)\c1ccccc1,1.361727836
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,1.361727836
CCCC[C@@H](CC)CO,1.361727836
CCCC[C@H](CC)CO,1.361727836
CC(C)(C)C1CCCC2CCCCC12,1.380211242
CCCCCC/C(=C(\C)/CCC=C(C)C)/C,1.380211242
CCCCCC/C(=C(/C)\CCC=C(C)C)/C,1.380211242
CCC(C)(C)C,1.380211242
CC(C)CCC(C)(C)C,1.380211242
CCCCCCO,1.380211242
CCCCCC(O)CC,1.397940009
CCCCCCCCC1CCc2ccccc2C1CCCCCCCC,1.414973348
CCCCCCc1ccccc1,1.414973348
CCC(=CCCCCCCC=C(CC)CC)CC,1.414973348
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,1.431363764
CCCOC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,1.431363764
CCCCC=C,1.431363764
CCCCOC(=O)/C=C\C(=O)OCCCC,1.447158031
CC1CCC=CC1,1.447158031
CCCC(C)C,1.447158031
